"population"	"pct_white"	"pct_black"	"pct_native"	"pct_asian"	"pct_pacific_islander"	"pct_race_other"	"pct_hispanic_latinx"	"pct_commute_drive"	"pct_commute_carpool"	"pct_commute_public"	"pct_commute_walk"	"pct_commute_other"	"pct_work_home"	"commute_time_mean"	"median_income"	"pct_private_health_ins"	"pct_public_health_ins"	"pct_no_health_ins"	"pct_impoverished"	"pct_owner_occupied_homes"	"pct_attained_hs"	"pct_some_college"	"pct_associates"	"pct_bachelors"	"pct_grad_degree"	"pct_hs_or_higher"	"pct_enrolled_prek"	"pct_enrolled_elementary_middle"	"pct_enrolled_hs"	"pct_less_than_hs"	"pct_fair_poor_health"	"teen_birth_rate"	"pcp_ratio"	"preventable_hosp_rate"	"pct_unemployed"	"pct_children_poverty"	"income_ratio"	"social_assoc_rate"	"air_pollution"	"water_violations"	"severe_housing_problems"	"pct_food_insecure"	"median_income_white"	"median_income_black"	"median_income_hispanic"	"segregation_black_white"	"segregation_white_non"	"pct_rural"	"pct_child_no_ins"	"pct_child_food_insecure"	"child_abuse_rate"	"pct_stayed"	"pct_lib_program_atten"	"lib_visit_rate"	"pct_lib_patrons"	"lib_hours_per_person"	"death_rate"	"missing_lib_atten"	"missing_visit_rate"	"missing_lib_patrons"	"missing_lib_hours"	"missing_water_violations"	"missing_hispanic_income"	"missing_income_black"	"missing_bw_segregation"	"missing_pcp"	"missing_nw_segregation"	"missing_death_rate"	"missing_prev_hosp"
"pct_commute_public"	0.27	-0.19	0.11	-0.16	0.64	0.01	0.14	0.27	-0.66	-0.05	1	0.14	0.24	0.19	0.13	0.52	0.31	-0.45	-0.15	-0.19	-0.41	-0.62	-0.51	-0.25	0.57	0.75	0.29	0.15	-0.17	-0.07	-0.29	-0.23	-0.25	-0.02	-0.22	-0.17	-0.22	-0.03	0.05	0.23	-0.13	0.2	-0.18	0.59	0.35	0.21	0.02	0.16	-0.38	-0.23	-0.37	-0.22	-0.43	0.24	0.26	0.04	-0.19	-0.32	-0.04	-0.04	-0.04	-0.04	0.32	-0.11	-0.12	-0.13	-0.01	-0.06	-0.05	0.14
"pct_commute_walk"	-0.04	0	-0.01	-0.05	0.19	0	-0.03	0.03	-0.59	-0.13	0.14	1	0.18	0.08	-0.28	-0.11	0.11	-0.16	-0.06	0.04	-0.38	-0.23	-0.24	-0.29	0.21	0.3	0.03	-0.04	-0.19	-0.44	-0.03	0.1	-0.2	0	-0.09	0.07	0.02	0.35	0.31	-0.12	0.08	0.36	0.15	-0.11	-0.1	-0.12	0.04	0.08	-0.24	0	-0.02	-0.05	-0.37	0.07	0.09	-0.04	0.05	-0.08	-0.07	-0.07	-0.07	-0.07	0.35	-0.02	0.03	0.21	0.29	0.31	0.07	0.44
"pct_commute_other"	0.03	-0.46	0.51	-0.19	0.12	0.01	-0.12	-0.1	-0.36	-0.06	0.24	0.18	1	0.03	0.03	-0.01	0.08	-0.06	-0.11	0.05	-0.28	-0.12	-0.24	-0.13	0.04	0.21	-0.07	-0.12	0.1	0	0.07	0.05	-0.14	0.07	-0.26	0.08	0.14	0.2	0.04	-0.02	-0.08	0.3	0.25	0.08	-0.05	0.01	-0.3	-0.04	-0.1	-0.24	-0.13	-0.27	-0.27	-0.07	-0.1	-0.09	-0.26	-0.19	-0.16	-0.16	-0.16	-0.16	0.2	0.17	-0.28	-0.26	0.01	-0.18	-0.03	0.13
"pct_work_home"	0.06	0.11	-0.07	-0.16	0.22	-0.04	-0.03	0.07	-0.45	-0.03	0.19	0.08	0.03	1	0.27	0.42	0.37	-0.34	-0.2	-0.45	0.14	-0.24	-0.19	-0.2	0.4	0.37	0.37	0.05	-0.01	-0.01	-0.37	-0.37	-0.38	0.11	-0.25	-0.35	-0.38	-0.19	0.09	-0.14	-0.14	-0.12	-0.38	0.4	0.28	0.17	-0.25	-0.14	0.12	0.05	-0.4	-0.13	-0.09	0.08	0	-0.09	-0.08	-0.14	0.01	0.01	0.01	0.01	-0.12	0.02	-0.04	-0.04	0.05	-0.02	-0.01	0.05
"commute_time_mean"	0.04	-0.07	0.17	-0.23	0.09	-0.11	-0.2	-0.18	-0.1	0.2	0.13	-0.28	0.03	0.27	1	0.46	0.27	-0.19	-0.21	-0.4	0.43	-0.05	-0.13	0.1	0.05	0.09	0.06	-0.1	0.14	0.28	-0.06	-0.44	-0.4	0.27	-0.21	0	-0.3	-0.38	-0.37	0.14	-0.16	-0.07	-0.43	0.44	0.39	0.43	-0.4	-0.08	0.31	-0.24	-0.46	-0.44	0.21	-0.15	-0.14	-0.07	-0.2	-0.16	0.11	0.11	0.11	0.11	-0.21	0.16	-0.16	-0.21	-0.08	-0.1	-0.21	-0.11
"median_income"	0.41	0.03	-0.03	-0.3	0.67	0.09	0.1	0.24	-0.3	-0.06	0.52	-0.11	-0.01	0.42	0.46	1	0.79	-0.82	-0.5	-0.77	0.16	-0.65	-0.28	-0.05	0.79	0.7	0.66	0.17	-0.03	0.07	-0.66	-0.72	-0.6	-0.01	-0.44	-0.54	-0.82	-0.53	-0.17	0.14	-0.17	-0.12	-0.72	0.97	0.82	0.62	-0.17	0.03	-0.26	-0.31	-0.78	-0.4	-0.21	0.19	0.2	0.02	-0.25	-0.38	-0.12	-0.12	-0.12	-0.12	0	-0.19	-0.13	-0.19	-0.09	-0.13	-0.04	0.04
"pct_private_health_ins"	0.25	0.15	0.03	-0.59	0.48	0.02	-0.03	0.04	-0.24	-0.23	0.31	0.11	0.08	0.37	0.27	0.79	1	-0.81	-0.84	-0.83	0.09	-0.62	-0.2	0.05	0.74	0.65	0.69	0.05	-0.02	-0.06	-0.69	-0.85	-0.76	0.07	-0.58	-0.54	-0.83	-0.4	-0.03	-0.12	-0.22	-0.03	-0.69	0.74	0.69	0.55	-0.21	0.15	-0.26	-0.49	-0.87	-0.51	-0.23	0.19	0.21	-0.07	-0.29	-0.42	-0.23	-0.23	-0.23	-0.23	0.09	-0.04	-0.13	-0.17	-0.02	0.04	-0.03	0.13
"pct_public_health_ins"	-0.38	-0.06	0.06	0.31	-0.66	-0.11	-0.14	-0.34	0.39	0.08	-0.45	-0.16	-0.06	-0.34	-0.19	-0.82	-0.81	1	0.46	0.7	0.13	0.68	0.27	0.08	-0.83	-0.71	-0.68	-0.15	0.06	0.25	0.68	0.6	0.65	0.06	0.47	0.61	0.82	0.32	0.17	-0.09	0.08	-0.13	0.57	-0.78	-0.68	-0.5	0.07	-0.09	0.44	0.29	0.72	0.35	0.4	-0.15	-0.18	0.04	0.32	0.45	0.16	0.16	0.16	0.16	-0.17	0.29	0.13	0.18	0.07	0.06	0.04	-0.1
"pct_no_health_ins"	-0.11	-0.12	-0.17	0.71	-0.24	0.05	0.17	0.22	0.04	0.33	-0.15	-0.06	-0.11	-0.2	-0.21	-0.5	-0.84	0.46	1	0.6	-0.11	0.43	0.12	-0.18	-0.45	-0.42	-0.43	0.06	0	-0.07	0.43	0.78	0.61	-0.11	0.5	0.27	0.55	0.27	-0.06	0.2	0.28	0.06	0.5	-0.48	-0.49	-0.44	0.22	-0.24	0.15	0.62	0.72	0.55	0.08	-0.17	-0.15	0.09	0.29	0.34	0.24	0.24	0.24	0.24	-0.11	-0.1	0.16	0.17	-0.02	-0.06	0.05	-0.1
"pct_impoverished"	-0.18	-0.26	0.14	0.37	-0.34	-0.01	0	-0.09	0.18	0.05	-0.19	0.04	0.05	-0.45	-0.4	-0.77	-0.83	0.7	0.6	1	-0.36	0.39	0.15	0	-0.6	-0.48	-0.63	-0.11	0	-0.07	0.63	0.79	0.6	-0.02	0.47	0.61	0.86	0.56	0.08	0.07	0.22	0.26	0.76	-0.7	-0.64	-0.57	0.21	0.05	0.02	0.21	0.79	0.35	0.07	-0.12	-0.16	0.02	0.12	0.29	0.19	0.19	0.19	0.19	0.15	0.09	0.05	0.11	0.03	0.02	-0.03	-0.05
"pct_owner_occupied_homes"	-0.18	0.41	-0.36	0.07	-0.33	-0.15	-0.12	-0.23	0.43	-0.03	-0.41	-0.38	-0.28	0.14	0.43	0.16	0.09	0.13	-0.11	-0.36	1	0.42	0.15	0.11	-0.25	-0.37	0	0.07	0.08	0.35	0	-0.28	-0.11	0.05	0.06	-0.15	-0.32	-0.48	-0.17	-0.06	-0.12	-0.7	-0.5	0.07	0.15	0.22	-0.18	-0.29	0.69	0.23	-0.09	0.06	0.53	-0.11	-0.1	0.11	0.29	0.19	0.02	0.02	0.02	0.02	-0.68	0.13	0.17	0.12	-0.03	0	0.09	-0.12
"pct_attained_hs"	-0.47	0.17	-0.16	0.37	-0.75	-0.12	-0.19	-0.3	0.5	0.07	-0.62	-0.23	-0.12	-0.24	-0.05	-0.65	-0.62	0.68	0.43	0.39	0.42	1	0.26	-0.03	-0.86	-0.86	-0.49	-0.14	0.12	0.24	0.49	0.45	0.52	-0.01	0.4	0.29	0.43	0.05	0.02	-0.13	0.09	-0.36	0.32	-0.69	-0.53	-0.31	0.01	-0.28	0.62	0.45	0.62	0.38	0.45	-0.29	-0.25	0.07	0.43	0.52	0.13	0.13	0.13	0.13	-0.41	0.18	0.28	0.25	0.02	0.04	0.04	-0.16
"pct_some_college"	-0.07	-0.01	0	0.21	-0.4	0.07	0.02	-0.11	0.47	0.01	-0.51	-0.24	-0.24	-0.19	-0.13	-0.28	-0.2	0.27	0.12	0.15	0.15	0.26	1	0.26	-0.33	-0.54	0.07	0.02	0.07	0.03	-0.07	0.17	0.31	-0.16	0.13	0.03	0.15	-0.08	-0.04	-0.12	0.2	-0.15	0.2	-0.29	-0.17	-0.17	0.12	-0.07	0.08	0.13	0.3	0.3	0.19	-0.15	-0.11	0.06	0.13	0.28	-0.17	-0.17	-0.17	-0.17	-0.1	-0.06	0.04	0.09	-0.03	0.1	0.05	-0.12
"pct_associates"	0.01	0.06	0.05	-0.08	-0.13	0.11	-0.24	-0.29	0.38	-0.04	-0.25	-0.29	-0.13	-0.2	0.1	-0.05	0.05	0.08	-0.18	0	0.11	-0.03	0.26	1	-0.13	-0.21	0.11	-0.11	0.14	-0.01	-0.11	-0.17	-0.11	0.06	-0.11	0.18	0.01	-0.09	-0.23	0.2	-0.08	0.03	-0.04	-0.08	0	0.08	0	0.13	-0.1	-0.36	-0.04	-0.11	0.2	-0.08	-0.09	-0.02	-0.26	-0.11	-0.04	-0.04	-0.04	-0.04	0.06	0.06	-0.19	-0.13	-0.02	-0.02	-0.2	-0.13
"pct_bachelors"	0.46	0.02	-0.05	-0.27	0.74	0.1	0.13	0.3	-0.48	-0.12	0.57	0.21	0.04	0.4	0.05	0.79	0.74	-0.83	-0.45	-0.6	-0.25	-0.86	-0.33	-0.13	1	0.87	0.75	0.21	-0.14	-0.23	-0.75	-0.56	-0.6	-0.06	-0.43	-0.53	-0.66	-0.2	0.01	0.09	-0.09	0.14	-0.48	0.78	0.61	0.4	0.02	0.14	-0.51	-0.27	-0.65	-0.29	-0.41	0.29	0.34	0.02	-0.24	-0.42	-0.17	-0.17	-0.17	-0.17	0.26	-0.25	-0.13	-0.11	-0.03	-0.03	0.05	0.14
"pct_grad_degree"	0.37	-0.06	0.05	-0.31	0.76	0.09	0.03	0.17	-0.63	-0.12	0.75	0.3	0.21	0.37	0.09	0.7	0.65	-0.71	-0.42	-0.48	-0.37	-0.86	-0.54	-0.21	0.87	1	0.59	0.13	-0.13	-0.26	-0.59	-0.49	-0.58	0.01	-0.43	-0.33	-0.5	-0.04	0.03	0.13	-0.11	0.28	-0.37	0.73	0.53	0.34	-0.06	0.19	-0.5	-0.36	-0.62	-0.37	-0.47	0.33	0.34	0.01	-0.32	-0.45	-0.1	-0.1	-0.1	-0.1	0.33	-0.15	-0.24	-0.21	-0.06	-0.06	-0.1	0.21
"pct_hs_or_higher"	0.29	0.22	-0.21	-0.06	0.42	0.15	-0.16	-0.05	-0.18	-0.19	0.29	0.03	-0.07	0.37	0.06	0.66	0.69	-0.68	-0.43	-0.63	0	-0.49	0.07	0.11	0.75	0.59	1	0.18	-0.04	-0.24	-1	-0.58	-0.52	-0.14	-0.4	-0.53	-0.67	-0.3	-0.04	0.1	-0.02	-0.08	-0.44	0.62	0.56	0.41	0.04	0.01	-0.32	-0.18	-0.47	-0.11	-0.22	0.23	0.39	0.18	-0.12	-0.18	-0.26	-0.26	-0.26	-0.26	0.08	-0.24	-0.1	-0.04	-0.11	0	-0.05	0.07
"pct_enrolled_prek"	0.02	-0.02	-0.13	0.2	0.11	-0.08	0.29	0.2	-0.05	0.01	0.15	-0.04	-0.12	0.05	-0.1	0.17	0.05	-0.15	0.06	-0.11	0.07	-0.14	0.02	-0.11	0.21	0.13	0.18	1	-0.16	-0.02	-0.18	0.06	0.04	-0.09	0.16	-0.22	-0.14	-0.13	-0.03	-0.01	0.18	-0.15	-0.04	0.18	0.1	0.04	0.05	-0.11	0.02	0.21	-0.01	0.23	-0.13	0.24	0.27	0.25	0.16	0.06	0.03	0.03	0.03	0.03	-0.07	-0.12	0.08	0.12	-0.06	0.11	0.27	-0.11
"pct_enrolled_elementary_middle"	-0.04	-0.06	0.08	0.03	-0.11	0.06	-0.1	-0.17	0.15	0.06	-0.17	-0.19	0.1	-0.01	0.14	-0.03	-0.02	0.06	0	0	0.08	0.12	0.07	0.14	-0.14	-0.13	-0.04	-0.16	1	0.11	0.04	0.01	-0.02	0.03	-0.11	0.08	0.05	-0.01	-0.11	0.03	0.11	-0.02	0.06	-0.05	0	0.08	-0.13	-0.14	0.11	-0.09	0.03	-0.06	0.09	-0.15	-0.13	0.01	-0.13	0.03	0.05	0.05	0.05	0.05	-0.01	0.07	-0.14	-0.07	-0.17	-0.09	-0.01	-0.02
"pct_enrolled_hs"	-0.03	-0.15	0.18	-0.02	-0.16	-0.1	-0.02	-0.07	0.25	0.04	-0.07	-0.44	0	-0.01	0.28	0.07	-0.06	0.25	-0.07	-0.07	0.35	0.24	0.03	-0.01	-0.23	-0.26	-0.24	-0.02	0.11	1	0.24	-0.05	0.2	0.04	0.05	0.04	0.03	-0.24	-0.03	-0.01	-0.08	-0.39	-0.07	0.1	0.08	0.16	-0.14	-0.13	0.32	0.01	-0.04	-0.05	0.24	-0.04	0.01	0.06	0.17	0.04	0.15	0.15	0.15	0.15	-0.27	0.18	0.04	-0.02	0.08	-0.03	-0.01	-0.2
"pct_less_than_hs"	-0.29	-0.22	0.21	0.06	-0.42	-0.15	0.16	0.05	0.18	0.19	-0.29	-0.03	0.07	-0.37	-0.06	-0.66	-0.69	0.68	0.43	0.63	0	0.49	-0.07	-0.11	-0.75	-0.59	-1	-0.18	0.04	0.24	1	0.58	0.52	0.14	0.4	0.53	0.67	0.3	0.04	-0.1	0.02	0.08	0.44	-0.62	-0.56	-0.41	-0.04	-0.01	0.32	0.18	0.47	0.11	0.22	-0.23	-0.39	-0.18	0.12	0.18	0.26	0.26	0.26	0.26	-0.08	0.24	0.1	0.04	0.11	0	0.05	-0.07
"pct_fair_poor_health"	-0.23	-0.33	0.07	0.64	-0.34	0.05	0.21	0.15	0.08	0.2	-0.23	0.1	0.05	-0.37	-0.44	-0.72	-0.85	0.6	0.78	0.79	-0.28	0.45	0.17	-0.17	-0.56	-0.49	-0.58	0.06	0.01	-0.05	0.58	1	0.71	-0.15	0.51	0.41	0.77	0.51	0.09	0.07	0.33	0.18	0.81	-0.67	-0.64	-0.56	0.19	-0.19	0.08	0.53	0.83	0.57	-0.03	-0.1	-0.12	0.07	0.26	0.34	0.14	0.14	0.14	0.14	0.01	-0.07	0.09	0.16	0.02	-0.03	0.1	-0.05
"teen_birth_rate"	-0.18	-0.13	-0.04	0.47	-0.44	0.03	0.25	0.17	0.29	0.17	-0.25	-0.2	-0.14	-0.38	-0.4	-0.6	-0.76	0.65	0.61	0.6	-0.11	0.52	0.31	-0.11	-0.6	-0.58	-0.52	0.04	-0.02	0.2	0.52	0.71	1	-0.22	0.55	0.35	0.66	0.22	0.09	-0.04	0.16	-0.12	0.57	-0.57	-0.5	-0.45	0.25	-0.08	0.13	0.48	0.73	0.59	0.14	-0.09	-0.13	-0.01	0.26	0.51	0.1	0.1	0.1	0.1	-0.11	-0.06	0.15	0.14	-0.01	-0.02	0.07	-0.14
"pcp_ratio"	-0.08	-0.04	0.18	-0.25	-0.04	-0.19	-0.16	-0.13	-0.06	0.05	-0.02	0	0.07	0.11	0.27	-0.01	0.07	0.06	-0.11	-0.02	0.05	-0.01	-0.16	0.06	-0.06	0.01	-0.14	-0.09	0.03	0.04	0.14	-0.15	-0.22	1	-0.11	0.15	0.04	-0.02	0.02	-0.18	-0.09	0.06	-0.1	0	0.06	0.09	-0.25	0	0.15	-0.18	-0.18	-0.31	0.05	-0.13	-0.04	-0.07	0.01	-0.17	0.23	0.23	0.23	0.23	0.08	0.22	0.04	0.04	NA	0.09	0.02	0.03
"preventable_hosp_rate"	-0.2	0.15	-0.29	0.39	-0.31	-0.05	0.2	0.05	0.25	0.08	-0.22	-0.09	-0.26	-0.25	-0.21	-0.44	-0.58	0.47	0.5	0.47	0.06	0.4	0.13	-0.11	-0.43	-0.43	-0.4	0.16	-0.11	0.05	0.4	0.51	0.55	-0.11	1	0.37	0.43	0.25	0	0.07	0.05	-0.19	0.3	-0.46	-0.37	-0.31	0.32	-0.08	0.22	0.4	0.56	0.53	0.09	0.02	-0.05	0.05	0.24	0.35	0.18	0.18	0.18	0.18	-0.18	0.06	0.26	0.26	0.01	0.09	0.13	NA
"pct_unemployed"	-0.19	-0.27	0.28	0.13	-0.26	-0.02	-0.27	-0.36	0.13	0.03	-0.17	0.07	0.08	-0.35	0	-0.54	-0.54	0.61	0.27	0.61	-0.15	0.29	0.03	0.18	-0.53	-0.33	-0.53	-0.22	0.08	0.04	0.53	0.41	0.35	0.15	0.37	1	0.67	0.43	-0.08	0.12	0	0.26	0.58	-0.5	-0.42	-0.25	0.08	0.17	0.05	-0.14	0.47	0.02	0.13	-0.17	-0.2	-0.1	-0.17	0.18	0.19	0.19	0.19	0.19	0.15	0.22	-0.06	-0.01	0.02	0.02	-0.25	0.01
"pct_children_poverty"	-0.24	-0.35	0.27	0.32	-0.43	-0.04	-0.05	-0.16	0.14	0.12	-0.22	0.02	0.14	-0.38	-0.3	-0.82	-0.83	0.82	0.55	0.86	-0.32	0.43	0.15	0.01	-0.66	-0.5	-0.67	-0.14	0.05	0.03	0.67	0.77	0.66	0.04	0.43	0.67	1	0.54	0.13	-0.02	0.17	0.27	0.8	-0.74	-0.69	-0.55	0.13	0.04	0.11	0.19	0.72	0.32	0.12	-0.14	-0.22	-0.03	0.11	0.3	0.17	0.17	0.17	0.17	0.16	0.21	-0.01	0.06	0.03	0.01	-0.03	-0.08
"income_ratio"	-0.15	-0.14	0.13	0.15	-0.16	-0.05	-0.14	-0.15	-0.14	-0.01	-0.03	0.35	0.2	-0.19	-0.38	-0.53	-0.4	0.32	0.27	0.56	-0.48	0.05	-0.08	-0.09	-0.2	-0.04	-0.3	-0.13	-0.01	-0.24	0.3	0.51	0.22	-0.02	0.25	0.43	0.54	1	0.22	-0.02	0.23	0.41	0.63	-0.47	-0.53	-0.4	0.12	0.07	-0.06	0.08	0.44	0.2	-0.18	0.03	0	0	0.04	0.13	0.06	0.06	0.06	0.06	0.21	0.11	-0.07	0.02	0.02	0.06	0	0.1
"social_assoc_rate"	-0.25	0.01	0.06	-0.14	-0.1	-0.1	0.07	0.06	-0.12	-0.23	0.05	0.31	0.04	0.09	-0.37	-0.17	-0.03	0.17	-0.06	0.08	-0.17	0.02	-0.04	-0.23	0.01	0.03	-0.04	-0.03	-0.11	-0.03	0.04	0.09	0.09	0.02	0	-0.08	0.13	0.22	1	-0.39	0.03	0.04	0.11	-0.12	-0.19	-0.12	-0.1	-0.08	-0.07	0.14	0.03	0.05	-0.21	0.17	0.19	0.07	0.33	0.21	-0.13	-0.13	-0.13	-0.13	0.28	0.14	0.12	0.2	0.25	0.11	0.3	0.34
